True Label,Answer,Prob,Prediction,Label=Prediction
0, 'this is a duplicate question handled earlier today',0.26565561,0,TRUE
1, 'it depends on how the restraining order is worded defendants often use third parties to do their dirty work when a retraining order has been issued against them that is why some',0.92706317,1,TRUE
1, 'first',0.50571018,1,TRUE
1, 'can they do this to you  yes they can and it appears that they have  youll be fine  this happens all the time  the prosecutor may have changed as well   although you no doubt feel that your case is somehow unique',0.46783191,0,FALSE
1, 'you do not need premium processing  you have enough time for regular processing',0.8076877,1,TRUE
0, 'the accused is presumed innocent until proven guilty beyond a reasonable doubt  the accused needs an experienced criminal litigator to help exonerate them or minimize any possible punishment  seek out an experienced criminal litigator for a free consultation a good place to start is by going to the website for the national association of criminal defense lawyers nacdlorg clicking on this link will take you to the part of their site that links you to a map of the us where you can click on your jurisdiction to find an affiliate local organization there is also a link to find members of nacdl near you meet several that offer free consultation hire one that you feel comfortable with and you can afford there is no confidentiality online  nacdl local affiliates  httpswwwnacdlorgaboutaspxid20400  httptinyurlcom8akw2gd  nacdl local members httpswwwnacdlorgimpakcmsmembersonlinemembersfindalawyerasp httptinyurlcom8ru8wtv',6.41E-05,0,TRUE
1, 'will take several months',0.69013852,1,TRUE
0, 'give me a call at 718 329 9500 if it is uncontested',0.018863963,0,TRUE
0, 'small claims proceedings often have different rules about discovery and pretrial papers that other civil courts they are suppose to be less complex and less burdensome they handle matters more informally you should check with the clerk of the small claims court they can be very helpful and are there to respond to questioin of procedure  i cannot give legal advise over the internet nor can i establish an attorney client relationship with you you should not assume or otherwise conclude that there is an attorney client relationship between any reader and this writer or his firm these comments are only guideposts they are not subject ot any privilege protections indeed',8.19E-07,0,TRUE
1, 'most likely you have legal claims that can be enforced here',0.57705015,1,TRUE
1, 'in the strictest sense of the word',0.79554081,1,TRUE
0, 'need more information  eg',0.5203318,1,FALSE
0, 'it depends on so many factors also',0.62957007,1,FALSE
0, 'it sounds to me like a car rental company fired him for being a lousy driver  you can spin it any way you want',0.36698771,0,TRUE
1, 'probably not but if you want to challenge service',0.52786034,1,TRUE
0, 'there is a huge difference between possession of under and over 30 grams of mj in immigration law if you are in detroit area',0.53393716,1,FALSE
1, 'file a motion and set a hearing be sure to know what should be in the order you propose and what is wrong with this one',0.73690021,1,TRUE
0, 'for additional information',0.39611447,0,TRUE
0, 'yes',0.50571018,1,FALSE
0, 'ill help you my firm does a lot of these cases   feel free to give me a call  bb',0.001665636,0,TRUE
0, 'its hard to build a case without any actual damage',0.40392992,0,TRUE
1, 'no',0.50571018,1,TRUE
1, 'thrers nothing you can do about your lawyer quitting but you should get your file from that lawyer and take it to a different personal injury attorney for another opinion  i have handled hundreds of these cases and can tell you for certain that they are far from easy  the burden of proof is on the plaintiff you to prove that the store employees knew',0.67998725,1,TRUE
0, 'best to sell it elsewhere for all cash so you arent on the hook',0.90851116,1,FALSE
1, 'you will need to speak with a georgia attorney about having your charge amended  va would not allow such an amendment    good luck',0.31563509,0,FALSE
0, 'i agree with attorney holmes regarding workplace accommodations for your potential disability  with regard to the termination of your disability benefits and denial of your appeal',0.89264947,1,FALSE
1, 'this was a terrible idea and i assume you were not represented by counsel  you never underestimate a workers comp claim because if you do',0.44799745,0,FALSE
0, 'you can call our office to set up a free consult to discuss in detail wwwrfoxlawcom 18004731581',0.008096341,0,TRUE
0, 'you need a lawyer who can contest what is happening the lawyer should be familiar with estate law matters and elder care matters',0.44986406,0,TRUE
0, 'i agree with my colleague',0.098336235,0,TRUE
1, 'court ordered alimony and child support debts  debts owed by a bankrupt debtor to another party  are known as domestic support obligations dso under the bankruptcy code   dsos may not be discharged in any bankruptcy case the debtor must disclose any dso in the petitions and to the appointed trustee  the trustee  appointed is under a duty to contact the dso recipient and confirm with them their rights',0.96694273,1,TRUE
1, 'dont worry',0.51896322,1,TRUE
1, 'in california',0.50186646,1,TRUE
1, 'quit freaking out  consider retaining a local attorney to keep an eye on things while you vacation  it would terrible for this theft offense to interfere with your vacation',0.33159244,0,FALSE
0, 'im sorry that no one has replied to your question as yet  i know that there are some great attorneys from your state who frequent this board  perhaps reask your question and someone can be of assistance to you  lots of luck  eric reimer',0.17664853,0,TRUE
1, 'unfortunately the employer here should have advised  you to apply under the already approved blanket application here you will need to get an employment attorney to help you out in this my guess is that while the previous denial might impact this new application',0.81308359,1,TRUE
0, 'give us a call',0.47774222,0,TRUE
1, 'yes',0.50571018,1,TRUE
1, 'this is not a workers compensation matter if he is damaging property andor trespassing on the property then call te pice also call a landlordtenant attorney to give him notice to move out and get that process started',0.81028277,1,TRUE
0, '5 steps to using avvo without damaging your case  understand that the avvo rating is not even recognized by the florida bar the florida bar is the official body that determines lawyer expertise there are only two rankings an uncertified member and board certified specialist a bcs member is an expert an uncertified member is not here',0.7614553,1,FALSE
0, 'why is this a legal quesion what happened',0.45744145,0,TRUE
1, 'it would be very unusual for an attorney to fail to show up for a scheduled hearing  if they do fail to show up',0.74363852,1,TRUE
0, 'you should let your carrier handle this i dont think the hotel could be held liable for this situation',0.20173424,0,TRUE
1, 'i shall accept that by 50k100k50k',0.57093424,1,TRUE
0, 'no  any other questions for us today',0.50150967,1,FALSE
1, 'obtain all your records and contact a medical malpractice lawyer immediately',0.15134127,0,FALSE
1, 'punitive damages are the only real advantage of limited civil  the filing fee is more',0.89120263,1,TRUE
1, 'the wits could be helpful but in no way should you assume its a slam dunk   civilians and many cops are usually not trained in the federal standards for field sobreity tests nhtsa fsts so there is no way for your friends to know whether or not you performed well on the tests   as a nhtsa certified sfst instuctor',0.92085886,1,TRUE
1, 'mr makler has answered the question well with licensing expungements pursuant to pc 17b and 12034 must be disclosed when applying for a state of california professional license i would add that there is one person that i believe could really be of use to you here her name is christine mccall and she is in los angeles and a very strong contributor here on avvo look her up and give her a call',0.70460093,1,TRUE
1, 'first',0.50571018,1,TRUE
1, 'there are only a couple lawyers that  fit that description  tom phelan',0.42466259,0,FALSE
0, 'i practice locally in snohomish county  the answer to your question varies from court to court  some courts require that you maintain a clean record for a year after being granted a deferred  even in those courts',0.9249261,1,FALSE
1, 'it sounds like you had a default judgment entered against you that is being enforced by wage garnishment  you should consult an attorney to see if there are any grounds to set aside the default judgment',0.90585619,1,TRUE
0, 'please feel free to contact my office at 2158861965',0.002463413,0,TRUE
1, 'if you were successful in getting a temporary protection order due to threats and it would be a close call based upon what information you have provided',0.14963734,0,FALSE
0, 'if the marriage is over',0.73470229,1,FALSE
1, 'a will is not invalid just because it is old',0.64748377,1,TRUE
0, 'sometimes in this forum you will get a fast answer  in the event that you do not then try doing this  get about 7 lawyers that have been reviewed online and evidence a good 10 years in practice  see if they have a consultation fee  wednesday afternoon after 130 pm start calling the ones with no consultation fee and see if the attorney will answer questions over the phone  state your facts and  judge that you will be front of',0.010245569,0,TRUE
1, 'yes you can  make sure you have all documents to support your trips and disclose them to update your file at the naturalization interview  watch out for the more than six months per year that you are staying out of the us issue but since you have a permit then you should be ok  do not miss the biometrics and the interview  best of luck',0.9623667,1,TRUE
1, 'there has been a major issues about whether doc has been properly giving good time in addition to earned time to people serving a doc sentence and how it impacts the mandatory release date mrd for felons i would contact one of the attorneys who is involved in the lawsuit in order to determine if your husband might be entitled to more credit',0.67465883,1,TRUE
1, 'while there is life',0.66449618,1,TRUE
0, 'it is not a great idea to represent yourself   you do',0.010061963,0,TRUE
0, 'im sorry',0.50134563,1,FALSE
1, 'see if the matter is marked abandoned or off calendar  also see if your stipulation had language that if a divorce is not granted then the stipulation shall be deemed a separation agreement  most divorce agreements contain this language  if that is the case file a new divorce on the basis if bring legally separated for a year or more and on the irretrievable breakdown of the marriage just in case your spouse is uncooperative  try to get your spouse to sign the uncontested documents  this is the quickest and least expensive manner to get your divorce finalized  hire an attorney to help you',0.96768248,1,TRUE
1, 'first',0.50571018,1,TRUE
0, 'you need to consult with an attorney asap  i handle these cases and offer free consultations  andrew m bonderud',0.034355991,0,TRUE
1, 'you may not be able to stop him from establishing paternity however',0.84415382,1,TRUE
0, 'this post is rambling and disjointed  punctuation is a good thing  so is legal representation  i suggest you use both',0.30423772,0,TRUE
0, 'if it is small claims court',0.76265788,1,FALSE
1, 'as personal representative',0.52603137,1,TRUE
0, 'easiest for her to turn it over to her insurance company to resolve',0.35097635,0,TRUE
1, 'many courts provide mediation services for free',0.48775753,0,FALSE
1, 'this sort of thing will continue for as long as she thinks she can jerk your chain it may well continue regardless without much more',0.57064545,1,TRUE
1, 'in some situations',0.43748027,0,FALSE
1, 'there is no cap on the amount you can demand from the insurance company  however',0.66092759,1,TRUE
0, 'use avvo to find an experienced local attorney good luck',0.10771643,0,TRUE
1, 'the answer is yes these instances may be used regarding a claim for either custody or modification of an order of custody to help you get answers to many of the questions you might have',0.59419429,1,TRUE
0, 'your question demonstrates why you need a lawyer  i understand you dont want to pay a contingency fee',0.38465822,0,TRUE
0, 'no',0.50571018,1,FALSE
1, 'hello jenny',0.50571018,1,TRUE
0, 'my fee starts at 400 for this type of case',0.089498833,0,TRUE
1, 'i agree with attorney smith  i do want to add that you should discuss the benefits of a transfer on death deed with your cpa  attorney  i suggest this because receiving the house as an inheritance placing your name on the deed will allow you to receive the tax benefits of the basis of the house being steppedup at the time of your fathers death  however',0.96581572,1,TRUE
0, 'a twentyfour year marriage is considered a longterm marriage in massachusetts  in a no fault divorce',0.72310501,1,FALSE
1, 'i work as a defense lawyer and have had to explain this to my clients on a number of occasions  candidly',0.10389688,0,FALSE
0, 'duplicate question handled earlier today',0.13140187,0,TRUE
1, '25 years on a grand theft is pretty harsh if this was a state case then she must have been charged with the 1st degree felony version of grand theft this actually happens a lot prosecutors do not even have to make plea offers',0.77159137,1,TRUE
1, 'if an application asks if you were arrested the answer is yes',0.74393469,1,TRUE
1, 'did they ask for specific other evidence in which case',0.7410081,1,TRUE
0, 'it is not a great idea to represent yourself   you do',0.010061963,0,TRUE
0, 'if your mother has an automobile insurance policy you may be entitled to collect  benefits from herautomboile policy as well as have your benefits paid  if you',0.87137586,1,FALSE
0, 'contact the clerk of the court i would fight this ticket in san diego the burned out tail light is a fix it ticket fix it fine 2500 for the no head lights fight the ticket call me with any questions  andrew roberts 818 5970633',0.092132546,0,TRUE
0, 'it all depends on the nature of the complaint and what you wish to accomplish',0.40651146,0,TRUE
0, 'my colleague above is correct and give sound information',0.077755325,0,TRUE
1, 'no',0.50571018,1,TRUE
1, 'based upon the information provided this will not likely impact your student visa request assuming you complied with any sentence imposed you will need to answe all questions regarding arrest truthfully on the application and provide a certificate of disposition',0.86076468,1,TRUE
1, 'the general rule is that unless you have a court order establishing sole custody',0.75363439,1,TRUE
0, 'i would contact a lawyer in the state that has jurisdiction over your case they will be able to provide you with the assistance you are seeking',0.010937447,0,TRUE
0, 'sounds like a tough but not impossible case the facts of the fall are very key i would not say much more on this site about it a lot of firms',0.17092632,0,TRUE
0, 'i suggest you consult with a california labor and employment lawyer with experience in these types of issues  you can begin your lawyer search with avvo recommended lawyers',0.00268199,0,TRUE
0, 'the only legally reasonable suggestion i would state is to retain an illinois licensed attorney to complete the case with the least negative impact on your life',0.60459679,1,FALSE
1, 'you very likely need no permission  a building habitable or useable by humans and created after december 1',0.80690873,1,TRUE
0, 'my office speed law office is located in durant',0.023949837,0,TRUE
1, '1 the company is required to pay you higher of the prevailing wage or the actual wage paid to similar workers 2 yes  it is not considered as being out of status',0.93156141,1,TRUE
0, 'i think i speak for most of the attorneys here that would just prefer you go back to your muslim country instead of troubling and blaming us for your shortcomings typical of your type not to accept an ounce of responsibility',0.21758221,0,TRUE
0, 'if you believe the other hand is related you may report that injury to your employer as well  you should call an attorney  i am interested in learning more details about your legal question  my firm is located in st louis and is a respected',0.048397049,0,TRUE
1, 'i am assuming there is no judgement against you for this debt if not',0.3972376,0,FALSE
1, 'm will receive some of ds income  she can keep as much of his income as is needed to raise her income to washingtons mmmna',0.70456809,1,TRUE
0, 'your question raises a classic issue of cost v benefit you can represent yourself but is it worth the time and trouble for the purpse of being able to have the gun   you would start by making an application in the court where the order was entered you would need to talk to the court clerk to get guidance on local rules as to the form of the papers you would have to have the papers served   i cannot give legal advise over the internet nor can i establish an attorney client relationship with you you should not assume or otherwise conclude that there is an attorney client relationship between any reader and this writer or his firm these comments are only guideposts they are not subject ot any privilege protections indeed',1.49E-06,0,TRUE
0, 'this is a duplicate post',0.68727499,1,FALSE
1, 'i would have to agree with my colleague that you need to find a california state and local tax specialist to deal with the ftb  you might do it yourself',0.62002158,1,TRUE
0, 'you retain a fela lawyer  avvo has a terrific find a lawyer tool to locate a toprated avvo attorney with a low contingency fee  good luck',0.008297953,0,TRUE
0, 'a number of us can help you on this site  if we can correlate the reason for reducing your pay to your pregnancy or you taking maternity leave',0.53710198,1,FALSE
1, 'could mean that his file has been sent to the court for determination for a projected early release  you know that his last date is no later than exactly when his sentence expires',0.97412997,1,TRUE
1, 'as well as under the  laws of several states',0.74341446,1,TRUE
0, 'this is a tough one i have no clue as to what kind of crimes were charged or what the anticipated sentences were all i see is an acquittal and an allegation of errors and deprivation of rights  the governments legal system that you voted into office and support through your taxes is immune from prosecution unless someone in the legal chain behaved fraudulently the prosecutor has an obligation to represent the people of the state of x zealously and to secure convictions errors can happen and when they do',0.89433211,1,FALSE
1, 'if you believe that there is nothing left to do',0.57455158,1,TRUE
0, 'it more often makes sense to appear with a lawyer than not most experienced criminal defensetraffic attorneys will charge a very reasonable fee that can often save you money in the following ways you will not spend the day at traffic court but will be one of the first cases called and disposed of you will get the states best offer on an agreed disposition you will not be subject to any unnecessary fines',0.49113175,0,TRUE
1, 'you hold a remainder interest in your fathers home',0.50944197,1,TRUE
1, 'sorry to hear of your injuries    first off there is currently no class  action for your claim to be included in  if your injuries match a specific fact pattern it may be filed in a centralized venue for convenience to litigate similar claims',0.2133145,0,FALSE
1, 'i guess i stand very much alone from the other lawyers in my answer to this question exempted assets will remain exempt from attachment after the case',0.34480861,0,FALSE
0, 'i have personally review your post and you certainly have rights in this matter contact me directly at any time on my cell phone 5864575501 so i can help you i specialize in this area of the law for over 30 years   looking forward to hearing from you jules n fiani attorney at law',0.00314968,0,TRUE
1, 'confer with local attorney  many offer free initial consult  if these background difficulties due to criminal charges or convictions',0.12054984,0,FALSE
0, 'only an experienced duisburg attorney is going to know all the defenses available to you the short answer is yes there will likely be at least 1 or 2 defenses available to you call my office to set up an appointment',0.01201666,0,TRUE
